Date,Number of new cases
12-Jan-20,0
13-Jan-20,0
14-Jan-20,2
15-Jan-20,0
16-Jan-20,1
17-Jan-20,0
18-Jan-20,0
19-Jan-20,0
20-Jan-20,1
21-Jan-20,1
22-Jan-20,1
23-Jan-20,0
24-Jan-20,1
25-Jan-20,3
26-Jan-20,0
27-Jan-20,0
28-Jan-20,2
29-Jan-20,1
30-Jan-20,1
31-Jan-20,0
1-Feb-20,1
2-Feb-20,1
3-Feb-20,0
4-Feb-20,0
5-Feb-20,0
6-Feb-20,1
7-Feb-20,0
8-Feb-20,1
9-Feb-20,0
10-Feb-20,3
11-Feb-20,1
12-Feb-20,1
13-Feb-20,3
14-Feb-20,2
15-Feb-20,0
16-Feb-20,0
17-Feb-20,5
18-Feb-20,10
19-Feb-20,6
20-Feb-20,7
21-Feb-20,11
22-Feb-20,14
23-Feb-20,13
24-Feb-20,34
25-Feb-20,16
26-Feb-20,30
27-Feb-20,19
28-Feb-20,40
29-Feb-20,40
1-Mar-20,53
2-Mar-20,51
3-Mar-20,48
4-Mar-20,58
5-Mar-20,74
6-Mar-20,43
7-Mar-20,79
8-Mar-20,46
9-Mar-20,50
10-Mar-20,15
11-Mar-20,2
12-Mar-20,0
