date,total cases
22-Jan-2020,1
23-Jan-2020,1
24-Jan-2020,2
25-Jan-2020,2
26-Jan-2020,5
27-Jan-2020,5
28-Jan-2020,5
29-Jan-2020,5
30-Jan-2020,5
31-Jan-2020,7
1-Feb-2020,8
2-Feb-2020,8
3-Feb-2020,11
4-Feb-2020,11
5-Feb-2020,11
6-Feb-2020,11
7-Feb-2020,11
8-Feb-2020,11
9-Feb-2020,11
10-Feb-2020,11
11-Feb-2020,12
12-Feb-2020,12
13-Feb-2020,13
14-Feb-2020,13
15-Feb-2020,13
16-Feb-2020,13
17-Feb-2020,13
18-Feb-2020,13
19-Feb-2020,13
20-Feb-2020,13
21-Feb-2020,15
22-Feb-2020,15
23-Feb-2020,15
24-Feb-2020,15
25-Feb-2020,15
26-Feb-2020,15
27-Feb-2020,16
28-Feb-2020,16
29-Feb-2020,24
1-Mar-2020,30
2-Mar-2020,53
3-Mar-2020,80
4-Mar-2020,98
5-Mar-2020,164
6-Mar-2020,214
7-Mar-2020,279
8-Mar-2020,423
9-Mar-2020,647
10-Mar-2020,937
11-Mar-2020,1215
12-Mar-2020,1629
13-Mar-2020,1896
14-Mar-2020,2234
15-Mar-2020,3487
16-Mar-2020,4226
17-Mar-2020,7038
18-Mar-2020,10442
19-Mar-2020,15219
20-Mar-2020,18747
21-Mar-2020,24583
22-Mar-2020,33404
23-Mar-2020,44183
24-Mar-2020,54453
25-Mar-2020,68440
26-Mar-2020,85356
27-Mar-2020,103321
28-Mar-2020,122653
29-Mar-2020,140904
30-Mar-2020,163539
31-Mar-2020,186101
1-Apr-2020,213144
2-Apr-2020,239279
3-Apr-2020,277205
4-Apr-2020,304826
5-Apr-2020,330891
6-Apr-2020,374329
7-Apr-2020,395011
8-Apr-2020,427460
9-Apr-2020,459165
10-Apr-2020,492416
11-Apr-2020,525704
12-Apr-2020,554849
13-Apr-2020,579005
14-Apr-2020,605390
15-Apr-2020,632548
16-Apr-2020,661712
17-Apr-2020,690714
18-Apr-2020,720630
19-Apr-2020,746625
20-Apr-2020,776093
21-Apr-2020,802583
22-Apr-2020,828441
23-Apr-2020,865585
